us_code,cn_code,cn_kind,y_col,sample_start,bucket,count,cn_mean,cn_median,cn_pct_down
SPX,IM,cn_future,cn_ret_cc,data_start,us_in_-2_-1pct,85,-0.0033441888456410326,-0.0015822263242903922,0.5529411764705883
SPX,IM,cn_future,cn_ret_cc,data_start,us_in_-1_0pct,313,-0.00031578571061736716,-0.000946166394779846,0.5271565495207667
SPX,IM,cn_future,cn_ret_cc,data_start,us_in_0_1pct,378,0.0018979498843823197,0.0011017835278210875,0.4523809523809524
SPX,IM,cn_future,cn_ret_cc,data_start,us_in_1_2pct,108,-0.0007121955298254991,0.0012351512261457032,0.46296296296296297
SPX,IM,cn_future,cn_ret_cc,data_start,us_ge_2pct,20,0.007495332266407756,0.007551232256336804,0.3
SPX,IM,cn_future,cn_ret_oc,data_start,us_le_-2pct,21,0.002176291569862004,0.005312843029637637,0.3333333333333333
SPX,IM,cn_future,cn_ret_oc,data_start,us_in_-2_-1pct,85,0.0004014032750709453,0.0011359899554572728,0.47058823529411764
SPX,IM,cn_future,cn_ret_oc,data_start,us_in_-1_0pct,313,0.00030780116759776543,-0.0006699419383653371,0.5143769968051118
SPX,IM,cn_future,cn_ret_oc,data_start,us_in_0_1pct,379,0.0010643100544526995,0.0003742631693852694,0.49076517150395776
SPX,IM,cn_future,cn_ret_oc,data_start,us_in_1_2pct,108,-0.002723789964803198,-0.0012648921980080163,0.5370370370370371
SPX,IM,cn_future,cn_ret_oc,data_start,us_ge_2pct,20,0.0013666188970702208,-3.891050583659794e-05,0.5
SPX,IH,cn_future,cn_ret_cc,data_start,us_le_-2pct,83,-0.006194163390346699,-0.003978894559294122,0.6385542168674698
SPX,IH,cn_future,cn_ret_cc,data_start,us_in_-2_-1pct,167,-0.0034091058080153534,-0.0026891578046693843,0.5988023952095808
SPX,IH,cn_future,cn_ret_cc,data_start,us_in_-1_0pct,758,-0.0006065779502257017,-0.0009326583886618556,0.5514511873350924
SPX,IH,cn_future,cn_ret_cc,data_start,us_in_0_1pct,946,0.0014790303280484193,0.0007589490107696717,0.4429175475687104
SPX,IH,cn_future,cn_ret_cc,data_start,us_in_1_2pct,248,0.001484444045488852,0.0020048896763512625,0.41935483870967744
SPX,IH,cn_future,cn_ret_cc,data_start,us_ge_2pct,61,0.00278004881663216,0.0020824656393170216,0.4426229508196721
SPX,IH,cn_future,cn_ret_oc,data_start,us_le_-2pct,83,0.0008769284036152641,0.0024511520414594035,0.42168674698795183
SPX,IH,cn_future,cn_ret_oc,data_start,us_in_-2_-1pct,167,-4.483639028856613e-05,-7.399186089518395e-05,0.5029940119760479
SPX,IH,cn_future,cn_ret_oc,data_start,us_in_-1_0pct,758,-0.00014637562351528042,-0.0008589872209920357,0.5395778364116095
SPX,IH,cn_future,cn_ret_oc,data_start,us_in_0_1pct,947,0.00016475890388830438,6.462870807211196e-05,0.4941921858500528
SPX,IH,cn_future,cn_ret_oc,data_start,us_in_1_2pct,248,-0.0010589828071167569,-0.000250898149453338,0.5161290322580645
SPX,IH,cn_future,cn_ret_oc,data_start,us_ge_2pct,61,-0.0031570226153353038,-0.004545454545454519,0.7704918032786885
NDX,HS300,cn_index,cn_ret_cc,data_start,us_le_-2pct,170,-0.0071306266935666045,-0.0050021241669623295,0.6764705882352942
NDX,HS300,cn_index,cn_ret_cc,data_start,us_in_-2_-1pct,251,-0.0028956976564480912,-0.0033630074565513812,0.601593625498008
NDX,HS300,cn_index,cn_ret_cc,data_start,us_in_-1_0pct,783,-5.574621484812133e-05,-0.00015523306284115357,0.5070242656449553
NDX,HS300,cn_index,cn_ret_cc,data_start,us_in_0_1pct,1047,0.0012351912531216255,0.0010048761705305775,0.4584527220630373
NDX,HS300,cn_index,cn_ret_cc,data_start,us_in_1_2pct,374,0.0017983353552993003,0.0019317044835072128,0.39037433155080214
NDX,HS300,cn_index,cn_ret_cc,data_start,us_ge_2pct,137,0.003969952504028365,0.0026010815702854906,0.3722627737226277
NDX,HS300,cn_index,cn_ret_oc,data_start,us_le_-2pct,170,0.00217610820450948,0.0012332283538367683,0.45294117647058824
NDX,HS300,cn_index,cn_ret_oc,data_start,us_in_-2_-1pct,251,0.00087198603937404,0.001074362683820329,0.44223107569721115
NDX,HS300,cn_index,cn_ret_oc,data_start,us_in_-1_0pct,783,0.0009180227668275819,0.0004968350073428773,0.46998722860791825
NDX,HS300,cn_index,cn_ret_oc,data_start,us_in_0_1pct,1047,0.0008982046577231337,0.0009317423892225563,0.45558739255014324
NDX,HS300,cn_index,cn_ret_oc,data_start,us_in_1_2pct,374,7.156996153031802e-05,0.0005396609224405102,0.47593582887700536
