entry_date,exit_date,entry_price,exit_price,us_ret_signal,gross_ret,net_ret
2023-08-07,2023-08-11,4012.8,3882.2,-0.005300062744756806,0.03254585326953752,0.031945853269537514
2023-08-10,2023-08-16,3978.2,3821.2,-0.007038725491928299,0.039465084711678644,0.03886508471167864
2023-08-16,2023-08-22,3830.0,3761.0,-0.011550897982462116,0.018015665796344615,0.017415665796344616
2023-08-17,2023-08-23,3816.2,3705.0,-0.007555398492863685,0.029138934018133167,0.028538934018133167
2023-08-18,2023-08-24,3846.8,3730.0,-0.007712909620466446,0.03036289903296252,0.02976289903296252
2023-08-25,2023-08-31,3710.0,3776.8,-0.013457972973819898,-0.018005390835579504,-0.018605390835579504
2023-09-07,2023-09-13,3807.2,3739.6,-0.00697159983873985,0.01775583105694467,0.01715583105694467
2023-09-13,2023-09-19,3766.4,3736.4,-0.005695894782348998,0.007965165675446029,0.007365165675446029
2023-09-18,2023-09-22,3710.0,3763.2,-0.012159618828447183,-0.014339622641509342,-0.014939622641509342
2023-09-21,2023-09-27,3710.2,3721.6,-0.00939479474814997,-0.00307261064093578,-0.00367261064093578
2023-09-22,2023-09-28,3687.0,3701.0,-0.016400935150564067,-0.0037971250339028373,-0.004397125033902837
2023-09-27,2023-10-11,3714.6,3671.0,-0.014734521163048298,0.01173746836806111,0.01113746836806111
2023-10-13,2023-10-19,3684.0,3536.6,-0.006246427021262435,0.04001085776330082,0.03941085776330082
2023-10-16,2023-10-20,3675.0,3521.6,-0.0050188638755857,0.04174149659863946,0.04114149659863946
2023-10-19,2023-10-25,3588.2,3505.8,-0.013399821028088454,0.02296416030321602,0.02236416030321602
2023-10-20,2023-10-26,3523.0,3519.2,-0.008482848734926662,0.0010786261708771727,0.00047862617087717277
2023-10-23,2023-10-27,3508.0,3573.0,-0.012585273492286109,-0.018529076396807342,-0.019129076396807342
2023-10-26,2023-11-01,3492.2,3577.0,-0.01433963884569256,-0.024282687131321312,-0.024882687131321312
2023-10-27,2023-11-02,3509.2,3559.2,-0.01183251050332379,-0.014248261712071164,-0.014848261712071164
2023-11-10,2023-11-16,3600.2,3577.0,-0.008083842131425545,0.006444086439642227,0.005844086439642227
2023-12-05,2023-12-11,3450.6,3418.6,-0.0054085096168463576,0.009273749492841876,0.008673749492841876
2023-12-21,2023-12-27,3296.0,3342.2,-0.014684262867934783,-0.014016990291262132,-0.014616990291262132
2024-01-03,2024-01-09,3385.0,3292.4,-0.005660578979532205,0.027355982274741453,0.026755982274741453
2024-01-04,2024-01-10,3381.6,3278.2,-0.008016310767699708,0.030577241542465106,0.029977241542465106
2024-01-18,2024-01-24,3213.8,3264.0,-0.0056168930629166836,-0.015620138154209817,-0.016220138154209817
2024-02-01,2024-02-07,3200.2,3316.6,-0.016105742122053734,-0.036372726704581027,-0.03697272670458103
2024-02-21,2024-02-27,3374.2,3497.4,-0.006005310324511015,-0.03651235848497425,-0.03711235848497425
2024-03-06,2024-03-12,3542.6,3598.4,-0.010193102244492658,-0.015751143228137643,-0.016351143228137643
2024-03-11,2024-03-15,3540.0,3554.6,-0.006528534105211481,-0.004124293785310762,-0.004724293785310762
2024-03-18,2024-03-22,3578.0,3540.2,-0.006482929746353672,0.010564561207378476,0.009964561207378476
2024-04-03,2024-04-11,3589.0,3508.8,-0.007239047479199234,0.022346057397603758,0.021746057397603758
2024-04-11,2024-04-17,3490.2,3563.4,-0.009456996015017816,-0.020973010142685267,-0.021573010142685266
2024-04-15,2024-04-19,3479.6,3542.0,-0.014550687729114609,-0.017933095758133177,-0.018533095758133177
2024-04-16,2024-04-22,3534.0,3535.6,-0.012021368111419184,-0.00045274476513856854,-0.0010527447651385684
2024-04-18,2024-04-24,3552.2,3523.6,-0.005780603602534629,0.008051348460109242,0.007451348460109242
2024-04-22,2024-04-26,3544.8,3587.6,-0.008758540830023365,-0.012074023922365118,-0.012674023922365118
2024-05-24,2024-05-30,3618.8,3586.0,-0.007380804158304,0.00906377804797176,0.00846377804797176
2024-05-30,2024-06-05,3590.0,3584.0,-0.007367038318595309,0.0016713091922005985,0.0010713091922005986
2024-05-31,2024-06-06,3596.0,3584.4,-0.005975032761843968,0.003225806451612856,0.002625806451612856
2024-07-12,2024-07-18,3455.4,3515.2,-0.008763043472009957,-0.017306245297215916,-0.017906245297215916
2024-07-18,2024-07-24,3478.0,3402.4,-0.013927547503968518,0.021736630247268574,0.021136630247268574
2024-07-19,2024-07-25,3499.0,3380.6,-0.007816408298095934,0.033838239496999156,0.03323823949699915
2024-07-22,2024-07-26,3515.0,3397.4,-0.007140257697692887,0.033456614509246085,0.03285661450924608
2024-07-25,2024-07-31,3395.0,3444.4,-0.023149084617023696,-0.014550810014727578,-0.015150810014727577
2024-07-26,2024-08-01,3385.0,3417.2,-0.005142626123616489,-0.009512555391432809,-0.010112555391432809
2024-08-02,2024-08-08,3394.6,3339.4,-0.0136934977706209,0.016261120603311086,0.015661120603311086
2024-08-05,2024-08-09,3363.6,3325.4,-0.01838185763136968,0.011356879533832798,0.010756879533832798
2024-08-06,2024-08-12,3368.0,3325.8,-0.029968801809597045,0.01252969121140135,0.01192969121140135
2024-08-08,2024-08-14,3330.0,3304.2,-0.0077346506693530825,0.00774774774774778,0.00714774774774778
2024-08-23,2024-08-29,3300.6,3275.2,-0.008932812493967823,0.007695570502332938,0.007095570502332938
2024-08-29,2024-09-04,3271.0,3250.0,-0.005975968074797167,0.006420055029043081,0.0058200550290430815
2024-09-04,2024-09-10,3260.0,3188.2,-0.021151069703828962,0.022024539877300686,0.021424539877300686
2024-09-09,2024-09-13,3215.0,3158.0,-0.017260261646496966,0.017729393468118193,0.017129393468118193
2024-10-08,2024-10-14,4535.0,3963.2,-0.009586025194825432,0.12608599779492835,0.12548599779492836
2024-10-16,2024-10-22,3816.8,3968.8,-0.007609460863171158,-0.03982393628170189,-0.04042393628170189
