n_trades,trades_per_year,hit_rate,mean_ret_bps,median_ret_bps,std_ret_bps,best_ret_bps,worst_ret_bps,total_ret_pct,max_dd_pct,sharpe_ann,t_stat,name,family,us_code,cn_fut,threshold,sample_start
21,3.662616154395997,0.6666666666666666,4.554686427152129,38.198895027625085,170.14594277744118,181.91227515030596,-619.6986301369863,0.6610786610260044,-6.196986301369867,0.05123097114568528,0.12267230695306325,bounce_long_SPX_IC_thr0.020,bounce_long,SPX,IC,0.02,2022-07-22
20,3.488205861329521,0.55,-0.47556689077481873,19.5508260085352,100.60554789014263,170.63999999999902,-233.01812191103787,-0.19151646536837985,-3.561648612587043,-0.008828577513411522,-0.021139985178191243,fade_short_SPX_IC_thr0.020,fade_short,SPX,IC,0.02,2022-07-22
10,1.7441029306647604,0.3,-2.699180866250872,-76.36421129214875,237.58128334285513,607.6986301369861,-190.5070422535211,-0.5159493829997586,-3.1055502051110517,-0.015003957270283039,-0.03592690145452807,naive_short_SPX_IC_thr0.025,naive_short,SPX,IC,0.025,2022-07-22
10,1.7441029306647604,0.7,-9.300819133749139,64.36421129214877,237.58128334285513,178.5070422535211,-619.6986301369863,-1.1854445417156079,-6.196986301369867,-0.051700534264395144,-0.1237966735177417,bounce_long_SPX_IC_thr0.025,bounce_long,SPX,IC,0.025,2022-07-22
11,1.9185132237312366,0.5454545454545454,-3.40981738192157,19.313117996044188,114.38821609233804,170.63999999999902,-233.01812191103787,-0.4399837318156963,-2.7787480571886958,-0.04128879721981512,-0.09886582067454176,fade_short_SPX_IC_thr0.025,fade_short,SPX,IC,0.025,2022-07-22
208,36.277340957827015,0.44711538461538464,-8.743404237618634,-8.88169822542761,143.13413495233624,544.3565837536961,-443.12275575718,-18.38116800195827,-21.936441550896358,-0.36792141220921176,-0.8809860013152248,naive_short_SPX_IM_thr0.005,naive_short,SPX,IM,0.005,2022-07-22
208,36.277340957827015,0.4951923076923077,-3.256595762381381,-3.1183017745723904,143.13413495233624,431.1227557571799,-556.3565837536961,-8.520673549012747,-22.656594376345783,-0.13703716302338412,-0.3281348088947432,bounce_long_SPX_IM_thr0.005,bounce_long,SPX,IM,0.005,2022-07-22
282,49.18370264474625,0.5070921985815603,1.1702657687984597,0.8151626524304293,153.29743237638638,713.3359975407332,-1101.3783041651511,-0.021766772646003574,-28.852635968005792,0.053537764258117584,0.12819591164837146,fade_short_SPX_IM_thr0.005,fade_short,SPX,IM,0.005,2022-07-22
106,18.487491065046463,0.39622641509433965,-13.53032088189929,-34.69652376037535,158.41781853590405,544.3565837536961,-443.12275575718,-14.498970355570984,-14.796044958420252,-0.36723414642244806,-0.879340346788933,naive_short_SPX_IM_thr0.010,naive_short,SPX,IM,0.01,2022-07-22
106,18.487491065046463,0.5471698113207547,1.5303208818992817,22.69652376037535,158.41781853590405,431.1227557571799,-556.3565837536961,0.2951844145798743,-16.037797147841758,0.04153531078250696,0.0994560961808294,bounce_long_SPX_IM_thr0.010,bounce_long,SPX,IM,0.01,2022-07-22
128,22.324517512508933,0.5078125,14.84663580135476,0.8151626524304293,142.90506701886903,713.3359975407332,-269.12407633489744,19.383608691775358,-7.788234685575679,0.490875625756082,1.175399257361113,fade_short_SPX_IM_thr0.010,fade_short,SPX,IM,0.01,2022-07-22
51,8.894924946390278,0.37254901960784315,-16.029958061539002,-29.494860499266856,176.22457274211058,544.3565837536961,-443.12275575718,-8.56611822882355,-12.229538279592877,-0.2712920478274058,-0.6496074663580043,naive_short_SPX_IM_thr0.015,naive_short,SPX,IM,0.015,2022-07-22
51,8.894924946390278,0.5490196078431373,4.029958061538993,17.494860499266856,176.22457274211058,431.1227557571799,-556.3565837536961,1.2809994379651357,-8.847422043125807,0.06820327108631942,0.16331239519375393,bounce_long_SPX_IM_thr0.015,bounce_long,SPX,IM,0.015,2022-07-22
48,8.37169406719085,0.5,-5.094641523547028,-1.2930971900283414,105.57664276372223,285.0326086956516,-269.12407633489744,-2.672061852750862,-10.115479202352573,-0.1396215509173858,-0.3343231129211731,fade_short_SPX_IM_thr0.015,fade_short,SPX,IM,0.015,2022-07-22
21,3.662616154395997,0.2857142857142857,-27.762915698620038,-59.12843029637637,182.23855640024405,544.3565837536961,-216.98109810981035,-5.979892621280691,-7.40834262583876,-0.2915550117109371,-0.6981270331300415,naive_short_SPX_IM_thr0.020,naive_short,SPX,IM,0.02,2022-07-22
21,3.662616154395997,0.6666666666666666,15.762915698620036,47.12843029637637,182.23855640024408,204.98109810981038,-556.3565837536961,3.0144312671657847,-5.972611190631993,0.16553582199358519,0.3963747068073092,bounce_long_SPX_IM_thr0.020,bounce_long,SPX,IM,0.02,2022-07-22
20,3.488205861329521,0.4,-19.666188970702212,-5.61089494163402,116.78607667955535,221.94117647058854,-269.12407633489744,-3.9856403856038725,-5.609904985974879,-0.31450691073286663,-0.7530852417879889,fade_short_SPX_IM_thr0.020,fade_short,SPX,IM,0.02,2022-07-22
10,1.7441029306647604,0.3,-33.67191292954785,-130.50154001212633,247.15534002084098,544.3565837536961,-216.98109810981035,-3.577996939526662,-4.334920020867672,-0.1799218249107613,-0.4308219196205319,naive_short_SPX_IM_thr0.025,naive_short,SPX,IM,0.025,2022-07-22
10,1.7441029306647604,0.7,21.671912929547844,118.50154001212633,247.155340020841,204.98109810981038,-556.3565837536961,1.9024740886408376,-5.563565837536966,0.11580126533796337,0.2772855569474829,bounce_long_SPX_IM_thr0.025,bounce_long,SPX,IM,0.025,2022-07-22
11,1.9185132237312366,0.36363636363636365,-20.784399435769014,-15.014423076922904,133.10635879061334,221.94117647058854,-269.12407633489744,-2.3496980851954397,-3.6724873181508078,-0.2162823478524301,-0.5178870119177322,fade_short_SPX_IM_thr0.025,fade_short,SPX,IM,0.025,2022-07-22
208,36.277340957827015,0.5048076923076923,0.22721594668196815,3.788388843405827,125.35792672760752,853.8562628336758,-404.9614885331028,-1.1292965516632503,-19.50905879898147,0.010917035706816765,0.026140787990058784,naive_short_SPX_IH_thr0.005,naive_short,SPX,IH,0.005,2022-07-22
208,36.277340957827015,0.4375,-12.227215946681984,-15.788388843405825,125.35792672760752,392.96148853310274,-865.8562628336759,-23.738718483715658,-25.027333749245496,-0.5874805665454639,-1.4067193101471052,bounce_long_SPX_IH_thr0.005,bounce_long,SPX,IH,0.005,2022-07-22
282,49.18370264474625,0.5106382978723404,3.137357252628437,0.7057866688846618,90.18124518051226,536.177258478198,-460.1420118343198,8.013094952576072,-14.14147024351382,0.24398232042574722,0.5842144592043053,fade_short_SPX_IH_thr0.005,fade_short,SPX,IH,0.005,2022-07-22
106,18.487491065046463,0.4339622641509434,-12.147087418466981,-14.3134861996903,116.60127870183173,531.984496124032,-357.7587939698497,-12.712706648890748,-18.902064998490932,-0.44792760946032834,-1.0725604448179005,naive_short_SPX_IH_thr0.010,naive_short,SPX,IH,0.01,2022-07-22
106,18.487491065046463,0.5094339622641509,0.1470874184669702,2.3134861996903013,116.60127870183173,345.75879396984965,-543.9844961240321,-0.5597040399866526,-7.074073855422725,0.005423894096245489,0.012987487579797159,bounce_long_SPX_IH_thr0.010,bounce_long,SPX,IH,0.01,2022-07-22
128,22.324517512508933,0.53125,1.6026331496647588,3.442509981725245,85.21422130372224,327.3333333333332,-460.1420118343198,1.6003686549332707,-8.046396737335382,0.08886138597860782,0.2127781491013271,fade_short_SPX_IH_thr0.010,fade_short,SPX,IH,0.01,2022-07-22
51,8.894924946390278,0.47058823529411764,3.8944189768251114,-4.4743306125556375,129.13858005186478,531.984496124032,-290.1624685138533,1.584994765259462,-7.65958997552143,0.08994102030703029,0.21536332815945353,naive_short_SPX_IH_thr0.015,naive_short,SPX,IH,0.015,2022-07-22
51,8.894924946390278,0.47058823529411764,-15.894418976825122,-7.525669387444361,129.13858005186478,278.1624685138533,-543.9844961240321,-8.180718776095786,-10.417128440541157,-0.36707921476094263,-0.8789693636919527,bounce_long_SPX_IH_thr0.015,bounce_long,SPX,IH,0.015,2022-07-22
48,8.37169406719085,0.5625,2.232609085364486,23.274151496374024,107.04970889629342,327.3333333333332,-460.1420118343198,0.8028769087073062,-5.550273069530087,0.06034396901284405,0.1444933352611878,fade_short_SPX_IH_thr0.015,fade_short,SPX,IH,0.015,2022-07-22
21,3.662616154395997,0.47619047619047616,35.89273566905534,-13.31743011854302,146.01019129898916,531.984496124032,-128.58796821793538,7.590486658289897,-2.422706926916518,0.4704560890655353,1.1265047777772912,naive_short_SPX_IH_thr0.020,naive_short,SPX,IH,0.02,2022-07-22
