date,IF,IC,IM,IH
2023-05-08,-0.007547890818858493,-0.0045323126510877325,-0.004774174174174094,0.0
2023-05-09,0.0,0.0,0.0,0.0
2023-05-10,0.0,0.0,0.0,0.0
2023-05-11,0.003841117764471092,0.007083615819209067,0.001782603975027764,0.0
2023-05-12,0.0,0.0,0.0,0.0
2023-05-15,0.0,0.0,0.0,0.0
2023-05-16,0.0,0.0,0.0,0.0
2023-05-17,0.0,0.0,0.0,0.0
2023-05-18,0.00247614725163885,0.0009329419439007453,-0.0026715917745621758,0.0
2023-05-19,-0.0018713588283157494,-0.0031931396684719664,-0.007413321112129511,0.0
2023-05-22,0.0,0.0,0.0,0.0
2023-05-23,0.0,0.0,0.0,0.0
2023-05-24,0.0,0.0,0.0,0.0
2023-05-25,0.0,0.0,0.0,0.0
2023-05-26,-0.003472062663185293,-0.010933836604596636,-0.010770015455950532,0.0
2023-05-29,0.0084673575129534,0.0034066225165562576,0.0036118113840989848,0.0
2023-05-30,-0.0015419152276295416,-0.00759347275875839,-0.006428220858895783,0.0
2023-05-31,0.0,0.0,0.0,0.0
2023-06-01,0.0,0.0,0.0,0.0
2023-06-02,-0.008558115183246184,-0.004816907162153172,-0.004181835842642045,0.0
2023-06-05,0.003711240390608706,0.001795563285531477,0.0006990151652467752,0.0
2023-06-06,0.0,0.0,0.0,0.0
2023-06-07,0.0,0.0,0.0,0.0
2023-06-08,0.0,0.0,0.0,0.0
2023-06-09,-0.00405585925227776,-0.008313720360867926,-0.005902489999689852,0.0
2023-06-12,0.0,0.0,0.0,0.0
2023-06-13,-0.00937513711151745,-0.005457922406335202,-0.00628968168537598,0.0
2023-06-14,0.0,0.0,0.0,0.0
2023-06-15,0.0,0.0,0.0,0.0
2023-06-16,-0.007981012980402168,-0.0081752607070243,-0.009347502875476654,0.0
2023-06-19,0.0,0.0,0.0,0.0
2023-06-20,0.0,0.0,0.0,0.0
2023-06-21,0.0,0.0,0.0,0.0
2023-06-26,0.0,0.0,0.0,0.0
2023-06-27,0.0,0.0,0.0,0.0
2023-06-28,-0.004276470588235281,-0.002898073673538514,0.0017771301555939319,0.0
2023-06-29,0.0,0.0,0.0,0.0
2023-06-30,0.0,0.0,0.0,0.0
2023-07-03,-0.009143891638447487,-0.0040668977931859855,0.0017336869222608804,0.0
2023-07-04,0.0,0.0,0.0,0.0
2023-07-05,0.0,0.0,0.0,0.0
2023-07-06,0.0,0.0,0.0,0.0
2023-07-07,0.0,0.0,0.0,0.0
2023-07-10,0.0,0.0,0.0,0.0
2023-07-11,0.0,0.0,0.0,0.0
2023-07-12,0.0,0.0,0.0,0.0
2023-07-13,-0.012597507011530128,-0.011660985797827882,-0.008044779425336945,0.0
2023-07-14,0.0017054459757159142,0.004747770111907124,0.002600243828101135,0.0
2023-07-17,0.0,0.0,0.0,0.0
2023-07-18,0.0,0.0,0.0,0.0
2023-07-19,0.0,0.0,0.0,0.0
2023-07-20,0.0,0.0,0.0,0.0
2023-07-21,0.0,0.0,0.0,-0.004523452638321612
2023-07-24,0.0,0.0,0.0,0.0
2023-07-25,0.0,0.0,0.0,0.0
2023-07-26,0.0,0.0,0.0,0.0
2023-07-27,0.0,0.0,0.0,0.0
2023-07-28,0.0,0.0,0.0,0.0
2023-07-31,0.005180632411067188,-0.0005015586546349254,-0.005157351809084009,0.0
2023-08-01,0.0,0.0,0.0,0.0
2023-08-02,0.0,0.0,0.0,0.0
2023-08-03,0.0,0.0,0.0,-0.00927183934276583
2023-08-04,0.0,0.0,0.0,0.0
2023-08-07,0.0,0.0,0.0,0.0
2023-08-08,0.0,0.0,0.0,0.0
2023-08-09,0.0,0.0,0.0,0.0
2023-08-10,0.0,0.0,0.0,0.0
2023-08-11,0.0,0.0,0.0,0.0
2023-08-14,0.0,0.0,0.0,0.0
2023-08-15,0.0029187580853816016,0.006659589411129142,0.010100757575757614,0.0
2023-08-16,0.0,0.0,0.0,0.0
2023-08-17,0.0,0.0,0.0,0.0
2023-08-18,0.0,0.0,0.0,0.0
2023-08-21,0.0,0.0,0.0,0.0
2023-08-22,-0.0027316280309087164,0.0014199205962249113,0.0010081919327841644,0.0
2023-08-23,0.0,0.0,0.0,0.0
2023-08-24,-0.0025340281508541944,0.0009550450609648215,0.0036643923240937022,0.0
2023-08-25,0.0,0.0,0.0,0.0
2023-08-28,0.0,0.0,0.0,0.0
2023-08-29,0.0,0.0,0.0,0.0
2023-08-30,0.003599475065616798,0.002922707649801338,-0.0017762783858846325,0.0
2023-08-31,0.0,0.0,0.0,0.0
2023-09-01,0.0,0.0,0.0,0.0
2023-09-04,0.0,0.0,0.0,0.0
2023-09-05,0.0,0.0,0.0,0.0
2023-09-06,0.0,0.0,0.0,0.0
2023-09-07,0.0,0.0,0.0,0.0
2023-09-08,0.0,0.0,0.0,0.0
2023-09-11,0.0,0.0,0.0,0.0
2023-09-12,-0.0010249667994686844,-0.0011549967047069336,-0.0017678832116788216,0.0
2023-09-13,0.0,0.0,0.0,0.0
2023-09-14,0.0,0.0,0.0,0.0
2023-09-15,0.0,0.0,0.0,0.0
2023-09-18,0.0,0.0,0.0,0.0
2023-09-19,0.0,0.0,0.0,0.0
2023-09-20,0.0,0.0,0.0,0.0
2023-09-21,0.0,0.0,0.0,0.0
2023-09-22,0.0,0.0,0.0,0.0
2023-09-25,0.0,0.0,0.0,0.0
2023-09-26,0.0,0.0,0.0,0.0
2023-09-27,0.0,0.0,0.0,0.0
2023-09-28,0.0,0.0,0.0,0.0
2023-10-09,0.00015810905940332246,0.004988752196836633,0.0026921810699588773,0.0
2023-10-10,0.0,0.0,0.0,0.0
2023-10-11,0.0,0.0,0.0,0.0
2023-10-12,0.0,0.0,0.0,0.0
2023-10-13,0.0,0.0,0.0,0.0
2023-10-16,0.0,0.0,0.0,0.0
2023-10-17,-0.0024713192800923205,-0.0001708001001465392,0.001659061160758691,0.0
2023-10-18,0.0,0.0,0.0,0.0
2023-10-19,0.0,0.0,0.0,0.0
2023-10-20,0.0,0.0,0.0,0.0
2023-10-23,0.0,0.0,0.0,0.0
2023-10-24,0.0,0.0,0.0,0.0
2023-10-25,0.0,0.0,0.0,0.0
2023-10-26,0.0,0.0,0.0,-0.008335642815101418
2023-10-27,0.0,0.0,0.0,0.0
2023-10-30,0.0,0.0,0.0,0.0
2023-10-31,-0.000209156895589046,0.0028690853900916087,0.004420920502092019,0.0
2023-11-01,0.0,0.0,0.0,0.0
2023-11-02,0.007537331401181669,0.008547337471414718,0.010870667384284261,0.0
2023-11-03,-0.006149016310745003,-0.006743494478168643,-0.01248858695652173,0.0
2023-11-06,-0.007296552105816433,-0.007980738073807347,-0.01486619112696259,0.0
2023-11-07,0.0,0.0,0.0,0.0
2023-11-08,0.0,0.0,0.0,0.0
2023-11-09,0.0,0.0,0.0,0.0
2023-11-10,0.0,0.0,0.0,0.0
2023-11-13,0.0014595602560534722,-0.004298384201077154,-0.006447184810459316,0.0
2023-11-14,0.0,0.0,0.0,0.0
2023-11-15,0.0028781648539722322,0.004746465001758616,0.0011391304347826876,0.0
2023-11-16,0.0,0.0,0.0,0.0
2023-11-17,0.0,0.0,0.0,0.0
2023-11-20,0.0,0.0,0.0,0.0
2023-11-21,0.0019013896609227261,0.004923688124070447,0.009552610441767074,0.0
2023-11-22,0.0,0.0,0.0,0.0
2023-11-23,0.0,0.0,0.0,0.0
2023-11-24,0.0,0.0,0.0,0.0
2023-11-27,0.0,0.0,0.0,0.0
2023-11-28,0.0,0.0,0.0,0.0
2023-11-29,0.0,0.0,0.0,0.0
2023-11-30,0.0,0.0,0.0,0.0
2023-12-01,0.0,0.0,0.0,0.0
2023-12-04,0.0,0.0,0.0,0.0
2023-12-05,0.0,0.0,0.0,0.0
2023-12-06,0.0,0.0,0.0,0.0
2023-12-07,0.0,0.0,0.0,0.0
2023-12-08,-0.002429232312503537,-0.003774603174603163,0.0034496581026355784,0.0
2023-12-11,0.0,0.0,0.0,0.0
2023-12-12,0.0,0.0,0.0,0.0
2023-12-13,0.0,0.0,0.0,0.0
2023-12-14,0.010141265344664797,0.00679938639234794,0.006219837118453243,0.0
2023-12-15,0.0,0.0,0.0,0.0
2023-12-18,0.0,0.0,0.0,0.0
2023-12-19,0.0,0.0,0.0,0.0
2023-12-20,0.0,0.0,0.0,0.0
2023-12-21,0.0,0.0,0.0,0.0
2023-12-22,-0.0029952095808383865,0.0014998950052498745,0.005202439109134472,0.0
2023-12-25,0.0,0.0,0.0,0.0
2023-12-26,0.0,0.0,0.0,0.0
2023-12-27,0.0,0.0,0.0,0.0
2023-12-28,0.0,0.0,0.0,0.0
2023-12-29,0.0,0.0,0.0,0.0
2024-01-02,0.0,0.0,0.0,0.0
2024-01-03,0.0,0.0,0.0,0.0
2024-01-04,0.0,0.0,0.0,0.0
2024-01-05,0.0,0.0,0.0,0.0
2024-01-08,0.0,0.0,0.0,0.0
2024-01-09,-0.0028526636225266293,-0.0032841982416556663,-0.0021622729254467503,0.0
2024-01-10,0.0,0.0,0.0,0.0
2024-01-11,0.0,0.0,0.0,0.0
2024-01-12,0.0,0.0,0.0,0.0
2024-01-15,0.0,0.0,0.0,0.0
2024-01-16,0.0,0.0,0.0,0.0
2024-01-17,0.0,0.0,0.0,0.0
2024-01-18,0.0,0.0,0.0,0.0
2024-01-19,-0.006183126550868567,0.003062708794526015,0.005230792682926855,0.0
