us_code,cn_code,cn_kind,y_col,sample_start,n,alpha,beta_pos,beta_neg,se_pos,se_neg,t_pos,t_neg,p_pos,p_neg,asymmetry_F,asymmetry_p,r2,cond_n,cond_p_cn_down_given_us_down,cond_p_cn_up_given_us_up,cond_p_cn_down_given_us_up,cond_p_cn_up_given_us_down,cond_e_cn_given_us_down,cond_e_cn_given_us_up,cond_asymmetry_prob,cond_asymmetry_mean
NDX,ZZ1000,cn_index,cn_ret_cc,data_start,2762,0.0005721566617778385,0.14192652344458576,0.23603709202786172,0.05270219896826652,0.06124493837874249,2.692990543526347,3.853985297008444,0.007081427750295312,0.00011621057707148908,1.3133509711353069,0.2517888389179327,0.02263334561527275,2762,0.5141196013289037,0.5850995504174695,0.41490044958253053,0.48588039867109634,-0.0018274193597433042,0.0019029899652883188,-0.07097994908856586,-7.557060554501459e-05
NDX,ZZ1000,cn_index,cn_ret_oc,data_start,2762,0.0010287391523286715,-0.031117102877953967,-0.06784278423710786,0.050724734803303605,0.052070867617410345,-0.6134502821674165,-1.3028932941079714,0.5395786473836469,0.19261119365758184,0.19597085083395163,0.6579929059429759,0.0019567191704042974,2762,0.44019933554817275,0.5664739884393064,0.43352601156069365,0.5598006644518272,0.001372298082230084,0.0010036442858651462,-0.12627465289113365,-0.0023759423680952303
NDX,SSE50,cn_index,cn_ret_cc,data_start,2762,0.0006430476862169677,0.08092873438008544,0.21653227642588913,0.04331860963384201,0.0436505035875007,1.8682209577857987,4.960590568945762,0.061731278712376825,7.027918387825382e-07,5.012513564619929,0.02516474390251506,0.025789137651499483,2762,0.5465116279069767,0.5439948619139371,0.45600513808606297,0.45348837209302323,-0.0014010369567903772,0.0013068169924538694,0.002516765993039627,9.421996433650777e-05
NDX,SSE50,cn_index,cn_ret_oc,data_start,2762,0.0009008766076169734,-0.08013195867487244,-0.02788732190723823,0.03294503014351747,0.03461095832250568,-2.4322927714983393,-0.8057367740986408,0.015003574265120894,0.42039464082069355,1.017311369158785,0.31315760994310626,0.004255980959151251,2762,0.48754152823920266,0.5035324341682723,0.4964675658317277,0.5124584717607974,0.001035104753746093,0.0003017336475747598,-0.015990905929069654,-0.0013368384013208528
RUT,HS300,cn_index,cn_ret_cc,data_start,2762,0.0005587399347476539,0.10273040162592353,0.19055636474038123,0.03511331330419711,0.04169673297852889,2.925682368278362,4.5700550409670075,0.0034370166078160637,4.8759613718428284e-06,2.379169088840367,0.12296293429989555,0.02472469225151397,2762,0.5380434782608695,0.5612244897959183,0.4387755102040816,0.46195652173913043,-0.001470119129538605,0.0016501345948854767,-0.023181011535048812,-0.00018001546534687166
RUT,HS300,cn_index,cn_ret_oc,data_start,2762,0.0006776058428824745,-0.036385062711824685,-0.058342064954399545,0.033312477968185324,0.03301611567331426,-1.092235250303919,-1.767078402913258,0.27472971221155673,0.07721509887565745,0.16061362041841282,0.6885921987545164,0.0033083260777377888,2762,0.45962732919254656,0.5231292517006803,0.47687074829931975,0.5403726708074534,0.0009780190608284752,0.0005856509657757043,-0.06350192250813369,-0.0015636700266041794
RUT,ZZ500,cn_index,cn_ret_cc,data_start,2762,0.0005616191320967636,0.10494533442859086,0.1731411044166222,0.038071703316999855,0.05240018042582858,2.756517972279177,3.304208172750474,0.005842040211374874,0.00095245079221865,1.0168580704332393,0.31326544472486717,0.015674147538842886,2762,0.514751552795031,0.5666666666666667,0.43333333333333335,0.48524844720496896,-0.00123876121342998,0.0016357604214385505,-0.05191511387163561,-0.00039699920800857053
RUT,ZZ500,cn_index,cn_ret_oc,data_start,2762,0.0006334779606544697,-0.027319591108871357,-0.09193238076547369,0.038635994429239616,0.04071208985117554,-0.7071020563196884,-2.2581100872378626,0.47950305819162076,0.02393879690950638,1.009390919780803,0.31504879999698554,0.003988132333214156,2762,0.4409937888198758,0.5421768707482993,0.45782312925170066,0.5590062111801242,0.001322459099876861,0.000596101651621232,-0.10118308192842357,-0.001918560751498093
RUT,ZZ1000,cn_index,cn_ret_cc,data_start,2762,0.0006147032338341714,0.10652124298532419,0.1887495068536987,0.04173743228446582,0.05490856229301761,2.5521752813953085,3.437524112294975,0.0107052646770854,0.0005870584485295599,1.2663594549137815,0.2604507563089319,0.015141262911676057,2762,0.4922360248447205,0.572108843537415,0.427891156462585,0.5077639751552795,-0.0011818812929709462,0.0015651099944417944,-0.07987281869269447,-0.0003832287014708482
RUT,ZZ1000,cn_index,cn_ret_oc,data_start,2762,0.0008849542166400237,-0.02752194694795249,-0.08857278341049787,0.0420464610238467,0.04503224640217101,-0.6545603667415287,-1.9668746395522425,0.5127508486187317,0.04919766491268843,0.7332232931214103,0.391840384822542,0.003122896373413897,2762,0.4301242236024845,0.5585034013605442,0.4414965986394558,0.5698757763975155,0.0017014789641903534,0.0007079999951493236,-0.12837917775805974,-0.0024094789593396768
RUT,SSE50,cn_index,cn_ret_cc,data_start,2762,0.0005231747341362647,0.08921885608032246,0.18207257450987616,0.034214477802527885,0.039364349345925455,2.6076345982907463,4.625316499197318,0.009117021902931649,3.7402681766467806e-06,2.8897671179468474,0.08914381025751934,0.022102840808149504,2762,0.5481366459627329,0.5503401360544218,0.4496598639455782,0.4518633540372671,-0.0014477674433436344,0.0015046681081270815,-0.0022034900916888533,-5.690066478344718e-05
RUT,SSE50,cn_index,cn_ret_oc,data_start,2762,0.000658965279142562,-0.045079199780998135,-0.04144819993035652,0.03128659095940954,0.031031660574262234,-1.4408472894820272,-1.3356745711743767,0.1496278301943355,0.18165566439101866,0.005171443031379129,0.9426713465049782,0.0027279597496140395,2762,0.49611801242236025,0.5108843537414965,0.4891156462585034,0.5038819875776398,0.0007803416666607387,0.0004841526544921269,-0.014766341319136289,-0.0012644943211528657
