n_trades,trades_per_year,hit_rate,mean_ret_bps,median_ret_bps,std_ret_bps,best_ret_bps,worst_ret_bps,total_ret_pct,max_dd_pct,sharpe_ann,t_stat,name,family,us_code,cn_fut,threshold,sample_start
48,8.37169406719085,0.5,-5.094641523547028,-1.2930971900283414,105.57664276372223,285.0326086956516,-269.12407633489744,-2.672061852750862,-10.115479202352573,-0.1396215509173858,-0.3343231129211731,fade_short_SPX_IM_thr0.015,fade_short,SPX,IM,0.015,all
21,3.662616154395997,0.2857142857142857,-27.762915698620038,-59.12843029637637,182.23855640024405,544.3565837536961,-216.98109810981035,-5.979892621280691,-7.40834262583876,-0.2915550117109371,-0.6981270331300415,naive_short_SPX_IM_thr0.020,naive_short,SPX,IM,0.02,all
21,3.662616154395997,0.6666666666666666,15.762915698620036,47.12843029637637,182.23855640024408,204.98109810981038,-556.3565837536961,3.0144312671657847,-5.972611190631993,0.16553582199358519,0.3963747068073092,bounce_long_SPX_IM_thr0.020,bounce_long,SPX,IM,0.02,all
20,3.488205861329521,0.4,-19.666188970702212,-5.61089494163402,116.78607667955535,221.94117647058854,-269.12407633489744,-3.9856403856038725,-5.609904985974879,-0.31450691073286663,-0.7530852417879889,fade_short_SPX_IM_thr0.020,fade_short,SPX,IM,0.02,all
10,1.7441029306647604,0.3,-33.67191292954785,-130.50154001212633,247.15534002084098,544.3565837536961,-216.98109810981035,-3.577996939526662,-4.334920020867672,-0.1799218249107613,-0.4308219196205319,naive_short_SPX_IM_thr0.025,naive_short,SPX,IM,0.025,all
10,1.7441029306647604,0.7,21.671912929547844,118.50154001212633,247.155340020841,204.98109810981038,-556.3565837536961,1.9024740886408376,-5.563565837536966,0.11580126533796337,0.2772855569474829,bounce_long_SPX_IM_thr0.025,bounce_long,SPX,IM,0.025,all
11,1.9185132237312366,0.36363636363636365,-20.784399435769014,-15.014423076922904,133.10635879061334,221.94117647058854,-269.12407633489744,-2.3496980851954397,-3.6724873181508078,-0.2162823478524301,-0.5178870119177322,fade_short_SPX_IM_thr0.025,fade_short,SPX,IM,0.025,all
481,34.40750513046027,0.4802494802494803,-4.296705941228653,-3.329059829059838,124.96817034256624,853.8562628336758,-404.9614885331028,-21.65261851245527,-34.94376323189721,-0.20167999070688156,-0.7540649579042819,naive_short_SPX_IH_thr0.005,naive_short,SPX,IH,0.005,all
481,34.40750513046027,0.4594594594594595,-7.703294058771363,-8.670940170940161,124.96817034256625,392.96148853310274,-865.8562628336759,-33.53348458954846,-35.893501479423016,-0.36157938091083996,-1.3519156743807086,bounce_long_SPX_IH_thr0.005,bounce_long,SPX,IH,0.005,all
655,46.85429492817355,0.5099236641221374,1.3014559309421736,1.3969470782053741,105.30584753938692,536.177258478198,-663.6475009394956,5.01902029047987,-16.094886417964805,0.084596361137202,0.31629886175715205,fade_short_SPX_IH_thr0.005,fade_short,SPX,IH,0.005,all
