n_trades,trades_per_year,hit_rate,mean_ret_bps,median_ret_bps,std_ret_bps,best_ret_bps,worst_ret_bps,total_ret_pct,max_dd_pct,sharpe_ann,t_stat,name,family,us_code,cn_fut,threshold,hold_days
250,17.8833186748754,0.432,-17.631362615173376,-25.212166307953638,155.35187988167806,607.6986301369861,-545.1832444427137,-37.57537095294157,-43.69457630934954,-0.47994715574176655,-1.7944830844260153,multi_day_h1_SPX_IC_thr0.010,multi_day,SPX,IC,0.01,1
250,17.8833186748754,0.472,-8.428606105029779,-13.635274486103015,258.079267709351,911.266818900404,-943.4391715653841,-25.44441282268287,-40.80558825373187,-0.13811050028254096,-0.5163838426245029,multi_day_h3_SPX_IC_thr0.010,multi_day,SPX,IC,0.01,3
250,17.8833186748754,0.484,9.154864716732613,-20.179320357557977,334.1011674602303,1049.7644110275698,-1036.0911474591092,9.42653163681566,-44.98739753648031,0.11587720081157828,0.43325535788547265,multi_day_h5_SPX_IC_thr0.010,multi_day,SPX,IC,0.01,5
149,10.65845793022574,0.4429530201342282,-25.470510229558002,-25.922044174967013,175.07020438299705,607.6986301369861,-545.1832444427137,-33.14909618322546,-41.76287121159776,-0.47497701499177863,-1.7759001354567991,naive_short_SPX_IC_thr0.015,naive_short,SPX,IC,0.015,1
149,10.65845793022574,0.5302013422818792,13.47051022955798,13.922044174967015,175.07020438299705,533.1832444427135,-619.6986301369863,19.463205266771123,-12.659680266041985,0.2511996297516926,0.9392148302385753,bounce_long_SPX_IC_thr0.015,bounce_long,SPX,IC,0.015,1
123,8.798592788038698,0.5691056910569106,21.698770054198146,12.121623976301573,131.14718646702642,492.61598080826684,-346.44902465955045,29.200506145441718,-9.786711016194872,0.4907753582293041,1.8349688461732536,fade_short_SPX_IC_thr0.015,fade_short,SPX,IC,0.015,1
149,10.65845793022574,0.4429530201342282,-25.470510229558002,-25.922044174967013,175.07020438299705,607.6986301369861,-545.1832444427137,-33.14909618322546,-41.76287121159776,-0.47497701499177863,-1.7759001354567991,multi_day_h1_SPX_IC_thr0.015,multi_day,SPX,IC,0.015,1
149,10.65845793022574,0.48322147651006714,-32.51071496752801,-14.325008325007486,265.6973856072943,714.8853340688125,-943.4391715653841,-41.607349870583654,-47.045707825441355,-0.3994720764923342,-1.493593357914855,multi_day_h3_SPX_IC_thr0.015,multi_day,SPX,IC,0.015,3
149,10.65845793022574,0.4966442953020134,-12.635649652012253,-12.11484796264383,357.6926977478377,1049.7644110275698,-1036.0911474591092,-24.696821535244485,-45.03480625559849,-0.11532798104313344,-0.43120187017892836,multi_day_h5_SPX_IC_thr0.015,multi_day,SPX,IC,0.015,5
83,5.937261800058634,0.43373493975903615,-25.78296037952683,-31.47565301515675,203.9071795348853,607.6986301369861,-545.1832444427137,-20.650795357948383,-28.768638846229045,-0.3081011812650547,-1.151965068357005,naive_short_SPX_IC_thr0.020,naive_short,SPX,IC,0.02,1
